date,price,volume
2024-08-30 18:23:28.784,58805.05511461276,41439694375.10712
2024-08-30 19:10:00.685,59177.17540500815,42055284644.985985
2024-08-30 20:38:31.034,58945.68972419615,43293663584.52069
2024-08-30 21:44:26.104,59003.116887718024,43271272268.67955
2024-08-30 22:29:07.047,59180.21629298589,43493994960.21358
2024-08-30 23:29:55.120,59182.89284213509,43305348759.97258
2024-08-31 00:13:14.286,59146.24979875298,43832419801.157486
2024-08-31 01:25:30.504,59271.74724991423,43734512119.52362
2024-08-31 02:16:03.860,59213.551753395084,43694052315.1793
2024-08-31 03:19:58.511,59128.64459534604,41100784102.77233
2024-08-31 04:28:35.887,59253.327959791764,43095725553.213005
2024-08-31 04:58:24.012,59332.93325713423,43608234259.701996
2024-08-31 06:09:31.835,59193.30300146088,40914487918.07245
2024-08-31 07:05:57.116,59150.83975964007,42978404860.84818
2024-08-31 07:53:07.111,59168.47919932165,42774979887.88688
2024-08-31 09:11:59.153,59005.487686977234,32265125325.29336
2024-08-31 09:39:56.168,58975.01623858652,42319876328.22789
2024-08-31 10:31:40.796,59019.35217652168,41122907559.94791
2024-08-31 11:59:31.251,59131.873659225435,40106852855.973236
2024-08-31 12:42:37.091,59151.42498480989,39750108618.458984
2024-08-31 13:23:09.809,59197.45730249457,38878041224.86732
2024-08-31 14:28:06.037,59084.71856653795,21676471395.562782
2024-08-31 15:21:09.031,59082.916196810635,20153850158.56702
2024-08-31 16:24:23.056,58981.11791553521,17919128330.56782
2024-08-31 17:27:10.420,58893.87165410129,15572440684.62114
2024-08-31 18:18:27.585,59051.49057272925,14995193775.896658
2024-08-31 19:10:38.921,58891.92517026088,13468134721.397549
2024-08-31 20:20:02.859,58853.53926445986,13126748402.22098
2024-08-31 21:18:09.648,58925.461969271746,12758274390.60152
2024-08-31 22:32:16.383,59027.35485109313,11415657120.46144
2024-08-31 23:16:18.319,58972.13921541655,12016129193.923159
2024-09-01 00:25:15.044,59021.65251754194,9102455362.70061
2024-09-01 01:07:54.835,58922.336373481114,11810832435.182934
2024-09-01 02:24:18.893,58644.573706545554,11643154088.80513
2024-09-01 03:06:00.384,58534.480695240316,11934214108.657248
2024-09-01 04:26:30.080,58503.32213878224,13006369175.508516
2024-09-01 05:23:13.153,58331.72698808311,12245291772.344189
2024-09-01 06:22:06.913,58131.30807597719,14677292978.039211
2024-09-01 07:01:48.804,58193.83008303418,15077116170.922565
2024-09-01 08:24:50.636,58318.17819955592,15348692905.754196
2024-09-01 09:27:06.456,58271.00932331365,14527619874.472439
2024-09-01 10:06:12.499,58200.559267471,14314041494.448067
2024-09-01 11:19:35.774,57995.47189871917,15651057012.518167
2024-09-01 12:13:38.870,58253.180839153545,15868406795.632809
2024-09-01 13:25:25.824,57995.987458535354,16478260071.722103
2024-09-01 14:30:53.240,57744.186227203034,18108296829.556904
2024-09-01 15:32:49.240,57883.88880512065,19621704457.510185
2024-09-01 16:30:17.988,58139.9258201694,20981543352.46272
2024-09-01 17:31:42.296,57943.3495960086,20627400476.292347
2024-09-01 18:12:30.685,58147.22230395923,21141902152.195293
2024-09-01 19:17:29.978,58533.92089209154,21513758322.54273
2024-09-01 20:26:58.771,58607.98923019267,21354505774.78389
2024-09-01 21:34:40.509,58168.06231803104,21659429252.650314
2024-09-01 22:31:15.640,57637.83573404503,22909222159.34404
2024-09-01 23:07:08.501,57383.549100481745,23917975472.360626
2024-09-02 00:28:42.319,57423.47573048797,25375522303.56775
2024-09-02 01:23:37.555,57478.32132172089,26529723425.719093
2024-09-02 02:28:30.882,57639.47999990747,26832298770.69757
2024-09-02 03:26:51.920,57660.6053771104,26718966533.79723
2024-09-02 04:12:59.733,57715.35936374439,25122134948.969006
2024-09-02 05:21:54.888,57627.09794275039,28401576644.351387
2024-09-02 06:04:00.229,57778.35227320422,26993799410.03563
2024-09-02 07:21:03.401,57701.59785865507,26663193644.284924
2024-09-02 08:09:17.481,57557.045542139196,24997778610.900444
2024-09-02 09:20:17.671,57989.956749165074,28384855112.128044
2024-09-02 10:01:18.042,58444.2439600214,27734563957.780132
2024-09-02 11:18:23.223,58410.307545954296,30156680583.895454
2024-09-02 12:23:23.642,58361.898572657774,30178156904.813847
2024-09-02 13:14:37.221,58389.63264298334,29859256546.137737
2024-09-02 14:03:46.988,58189.0157041461,29619354590.928356
2024-09-02 15:19:49.051,58611.971365503894,27188809184.04674
2024-09-02 16:05:55.019,58574.54981135888,28509176181.722603
2024-09-02 17:05:36.421,58352.56971842717,28395911388.959923
2024-09-02 18:23:31.825,58468.85708149525,27656709159.006336
2024-09-02 19:22:51.934,58493.30439764116,27347904879.993217
2024-09-02 20:23:12.699,58564.85288879264,25558269745.59055
2024-09-02 21:26:03.950,59245.901046591396,30112067944.33893
2024-09-02 22:23:06.692,59081.894737399656,30146495164.01631
2024-09-02 23:19:17.107,59231.01284443869,28558777001.351887
2024-09-03 00:10:43.157,59116.72450306674,27979771117.76178
2024-09-03 01:16:19.033,59387.948038510054,24449785346.695454
2024-09-03 02:11:51.818,59522.41951320161,11571444225.989836
2024-09-03 03:23:57.209,59320.34837813365,26687800987.169903
2024-09-03 04:11:15.322,59101.41640164991,26417747902.411755
2024-09-03 05:09:58.429,59029.26825418049,24327909263.260902
2024-09-03 06:11:11.586,59014.71587794109,16655931265.638678
2024-09-03 07:26:56.687,58958.44061193983,26153640917.292503
2024-09-03 08:14:30.826,59093.98582741865,24173965106.478897
2024-09-03 09:08:19.486,58856.27591419819,24969932443.667694
2024-09-03 10:28:48.679,59032.872760216815,22891897135.591362
