date,price,volume
2024-08-30 18:23:18.948,2483.2766856701637,15459482544.564236
2024-08-30 19:47:35.870,2501.3778892497826,16077330638.001745
2024-08-30 20:36:59.720,2511.993445482776,15895444434.88442
2024-08-30 21:44:43.129,2514.9348126697632,15538098333.767332
2024-08-30 22:13:09.860,2524.27401902367,15716014188.151731
2024-08-30 23:22:23.357,2525.174785080055,15465200871.702976
2024-08-31 00:14:07.535,2524.6829496473824,15490697125.894083
2024-08-31 01:26:53.898,2525.514105301368,15009748553.780052
2024-08-31 02:10:39.214,2525.819230789014,14890329661.82081
2024-08-31 03:19:34.591,2522.217455493257,14706362663.481699
2024-08-31 04:16:20.185,2524.1553028134085,14560419612.161827
2024-08-31 05:00:41.301,2528.714439084893,14378558498.335451
2024-08-31 06:19:09.492,2524.22905911539,13797245743.655556
2024-08-31 07:07:43.808,2522.781023865624,13706929000.618359
2024-08-31 07:51:43.087,2522.5786845726184,13959483053.8965
2024-08-31 09:09:54.581,2516.8197706552237,13788772844.404306
2024-08-31 09:42:51.018,2518.411392357841,12421634033.773193
2024-08-31 10:39:53.101,2520.7263707871,13285519305.655235
2024-08-31 11:59:53.745,2525.473940003252,13170642350.412092
2024-08-31 12:33:39.645,2525.471066776694,13309623052.943338
2024-08-31 13:23:12.620,2525.3352000863456,12525959928.92695
2024-08-31 14:32:56.416,2523.2164063965265,11554388262.897724
2024-08-31 15:41:45.582,2518.8649683820227,9942072446.56615
2024-08-31 16:24:02.209,2515.95490709453,9282277055.423199
2024-08-31 17:16:22.826,2504.3573761897433,8749426828.011074
2024-08-31 18:19:19.756,2504.55367995189,8084023731.479255
2024-08-31 19:12:38.974,2494.85302703038,6529116808.267474
2024-08-31 20:17:55.088,2497.235569342602,6246753381.411659
2024-08-31 21:24:47.127,2504.0166976082464,6047245351.101797
2024-08-31 22:07:31.618,2518.1390868854864,5978267119.241438
2024-08-31 23:39:12.908,2513.606243904854,5462928427.464701
2024-09-01 00:25:21.659,2514.031511463727,5832305080.625079
2024-09-01 01:08:58.986,2506.611347046648,5898538503.71962
2024-09-01 02:23:54.321,2484.9086625768214,6077830122.118846
2024-09-01 03:09:04.934,2486.541290388077,6204728001.377637
2024-09-01 04:09:38.009,2487.5254276992014,6312840779.534618
2024-09-01 05:23:23.598,2483.3388556811087,6441169224.218818
2024-09-01 06:21:57.611,2471.877935459211,6711378230.770606
2024-09-01 07:01:43.422,2475.6356330752874,6921148628.953922
2024-09-01 08:24:28.213,2481.8354386755823,6970307813.189302
2024-09-01 09:18:27.938,2480.6244609026103,7029304379.752381
2024-09-01 10:05:03.400,2483.6645594332963,7189915875.582077
2024-09-01 11:16:06.402,2468.037014430368,6836624048.651986
2024-09-01 12:25:56.023,2473.643395999355,7338444693.757416
2024-09-01 13:24:09.664,2469.0194310771026,7334232091.203056
2024-09-01 14:28:15.943,2447.204385842004,8054709598.758542
2024-09-01 15:31:42.033,2457.8382429233425,7917086296.225721
2024-09-01 16:06:59.894,2484.0256741868743,8567284252.9293165
2024-09-01 17:13:22.900,2476.6165171023827,8647233139.865719
2024-09-01 18:12:24.477,2471.3202819237613,8600310786.613173
2024-09-01 19:34:18.918,2493.2152691891793,9278315174.046774
2024-09-01 20:28:53.085,2510.8244183182337,9340719846.754345
2024-09-01 21:33:07.157,2477.495391508401,9119008367.276354
2024-09-01 22:25:46.274,2459.842704471544,9662171721.471617
2024-09-01 23:02:32.332,2410.9007755967814,10164893278.08693
2024-09-02 00:23:55.261,2435.111334753006,11342039791.827843
